Rater 1,Rater 2,Cohen's Kappa
Our Evaluation,AQUSA Evaluation,0.4681
Our Evaluation,OpenAIs GPT-5 Evaluation,0.2096
Our Evaluation,Claude 4.5 Sonnet Evaluation,0.0515
Our Evaluation,Gemini 2.5 Flash Evaluation,0.2964
Our Evaluation,DeepSeek-V3.1 Evaluation,0.2613
AQUSA Evaluation,OpenAIs GPT-5 Evaluation,0.1831
AQUSA Evaluation,Claude 4.5 Sonnet Evaluation,0.0632
AQUSA Evaluation,Gemini 2.5 Flash Evaluation,0.2299
AQUSA Evaluation,DeepSeek-V3.1 Evaluation,0.2425
OpenAIs GPT-5 Evaluation,Claude 4.5 Sonnet Evaluation,0.3821
OpenAIs GPT-5 Evaluation,Gemini 2.5 Flash Evaluation,0.4658
OpenAIs GPT-5 Evaluation,DeepSeek-V3.1 Evaluation,0.2366
Claude 4.5 Sonnet Evaluation,Gemini 2.5 Flash Evaluation,0.1951
Claude 4.5 Sonnet Evaluation,DeepSeek-V3.1 Evaluation,0.1236
Gemini 2.5 Flash Evaluation,DeepSeek-V3.1 Evaluation,0.3259
